Place of Interest,Type of place,Place address,BiciMAD station,Station Location
J. Marciano Barbero Matos,Monumento de la ciudad de Madrid,PLAZA COLEGIO ATENEO POLITECNICO , Doctor Arce 45,Avenida del Doctor Arce nº 45
Jacinto Alcántara,Monumento de la ciudad de Madrid, , Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
Jacinto Alcántara,Monumento de la ciudad de Madrid, , Paseo de la Florida,Paseo de la Florida nº 8
Jacinto Alcántara,Monumento de la ciudad de Madrid, , Paseo de Moret,Paseo de Moret nº 11
Jacinto Benavente,Monumento de la ciudad de Madrid,PARQUE RETIRO , Castelló,Calle Alcalá nº 111
Jacinto Benavente,Monumento de la ciudad de Madrid,PARQUE RETIRO , Alcalá,Avenida de Menéndez Pelayo nº 3
Jacinto Benavente,Monumento de la ciudad de Madrid,PARQUE RETIRO , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Jacinto Verdaguer,Monumento de la ciudad de Madrid,GLORIETA SARDANA , Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
Jacinto Verdaguer,Monumento de la ciudad de Madrid,GLORIETA SARDANA , Velázquez,Calle Alcalá nº 95
Jacinto Verdaguer,Monumento de la ciudad de Madrid,GLORIETA SARDANA , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Jaime Balmes,Monumento de la ciudad de Madrid,C Leganitos 5, Santo Domingo,Plaza de Santo Domingo nº 1
Jaime Balmes,Monumento de la ciudad de Madrid,C Leganitos 5, San Quintín,Calle Pavía nº 6
Jaime Balmes,Monumento de la ciudad de Madrid,C Leganitos 5, Plaza de España B,Calle Princesa nº 5
Jaime I El Conquistador,Monumento de la ciudad de Madrid, , San Quintín,Calle Pavía nº 6
Jaime I El Conquistador,Monumento de la ciudad de Madrid, , Plaza de España A,Calle Princesa nº 5
Jaime I El Conquistador,Monumento de la ciudad de Madrid, , Plaza Ramales,Plaza de Ramales
"Jaime I El Conquistador, Rey de Aragón",Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara , Paseo de Moret,Paseo de Moret nº 11
"Jaime I El Conquistador, Rey de Aragón",Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara , Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
"Jaime I El Conquistador, Rey de Aragón",Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara , Altamirano,Calle Altamirano nº 24
Jardines Manuel González Carmona,Monumento de la ciudad de Madrid,C Villafuerte , Embajadores 191,Calle Sodio nº 1B
Jardines Manuel González Carmona,Monumento de la ciudad de Madrid,C Villafuerte , Glorieta de Cádiz,Calle Antonio López nº 129
Jardines Manuel González Carmona,Monumento de la ciudad de Madrid,C Villafuerte , Legazpi,Calle Bolívar nº 3
Jardines del Maestro Padilla,Monumento de la ciudad de Madrid, , Ermita Santo,Paseo de la Ermita del Santo nº 48
Jardines del Maestro Padilla,Monumento de la ciudad de Madrid, , Paseo Imperial,Paseo Imperial nº 20
Jardines del Maestro Padilla,Monumento de la ciudad de Madrid, , Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Jarrones Franceses del Parterre,Monumento de la ciudad de Madrid,Pº Parterre , Antonio Maura,Calle Antonio Maura nº 15
Jarrones Franceses del Parterre,Monumento de la ciudad de Madrid,Pº Parterre , Espalter,Calle Espalter nº 1
Jarrones Franceses del Parterre,Monumento de la ciudad de Madrid,Pº Parterre , Plaza de la Independencia,Plaza de la Independencia nº 6
Jarrones Franceses nuevos del Parterre,Monumento de la ciudad de Madrid,PARQUE RETIRO , Castelló,Calle Alcalá nº 111
Jarrones Franceses nuevos del Parterre,Monumento de la ciudad de Madrid,PARQUE RETIRO , Alcalá,Avenida de Menéndez Pelayo nº 3
Jarrones Franceses nuevos del Parterre,Monumento de la ciudad de Madrid,PARQUE RETIRO , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Jarrones de la Fuente de los Patos,Monumento de la ciudad de Madrid,Pº Prado , Cibeles,Plaza Cibeles
Jarrones de la Fuente de los Patos,Monumento de la ciudad de Madrid,Pº Prado , Banco de España A,Calle Alcalá nº 49
Jarrones de la Fuente de los Patos,Monumento de la ciudad de Madrid,Pº Prado , Marqués de Cubas,Calle del Marqués de Cubas nº 25
Jarrones de la Rosaleda,Monumento de la ciudad de Madrid,C Rosaleda , Pintor Rosales,Paseo del Pintor Rosales frente al nº 38
Jarrones de la Rosaleda,Monumento de la ciudad de Madrid,C Rosaleda , Ferraz,Calle Evaristo San Miguel nº 2
Jarrones de la Rosaleda,Monumento de la ciudad de Madrid,C Rosaleda , Paseo de la Florida,Paseo de la Florida nº 8
Jarrones de la Rosaleda del Retiro,Monumento de la ciudad de Madrid,PARQUE RETIRO , Castelló,Calle Alcalá nº 111
Jarrones de la Rosaleda del Retiro,Monumento de la ciudad de Madrid,PARQUE RETIRO , Alcalá,Avenida de Menéndez Pelayo nº 3
Jarrones de la Rosaleda del Retiro,Monumento de la ciudad de Madrid,PARQUE RETIRO , Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
Jarrones del Instituto de Estudios Fiscales,Monumento de la ciudad de Madrid,Avda Cardenal Herrera Oria 378, Facultad Derecho,Avenida Complutense nº 23
Jarrones del Instituto de Estudios Fiscales,Monumento de la ciudad de Madrid,Avda Cardenal Herrera Oria 378, Facultad Biología,Calle José Antonio Novais frente al nº 12
Jarrones del Instituto de Estudios Fiscales,Monumento de la ciudad de Madrid,Avda Cardenal Herrera Oria 378, Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Jarrones del jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO , Facultad Derecho,Avenida Complutense nº 23
Jarrones del jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO , Facultad Biología,Calle José Antonio Novais frente al nº 12
Jarrones del jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO , INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Jarrones jardines Palacio de El Pardo,Monumento de la ciudad de Madrid,CALLE MANUEL ALONSO 1, Facultad Derecho,Avenida Complutense nº 23
Jarrones jardines Palacio de El Pardo,Monumento de la ciudad de Madrid,CALLE MANUEL ALONSO 1, Facultad Biología,Calle José Antonio Novais frente al nº 12
Jarrones jardines Palacio de El Pardo,Monumento de la ciudad de Madrid,CALLE MANUEL ALONSO 1, Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Jean-Jacques Rousseau,Monumento de la ciudad de Madrid,Pza Salesas , Plaza de las Salesas,Plaza de las Salesas 7
Jean-Jacques Rousseau,Monumento de la ciudad de Madrid,Pza Salesas , Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Jean-Jacques Rousseau,Monumento de la ciudad de Madrid,Pza Salesas , Prim,Calle Prim nº 2
Jerónimo Iborra-García,Monumento de la ciudad de Madrid,CALLE DOCTOR JERONIMO IBORRA 16, Caramuel,Calle Caramuel nº 51
Jerónimo Iborra-García,Monumento de la ciudad de Madrid,CALLE DOCTOR JERONIMO IBORRA 16, Ermita Santo,Paseo de la Ermita del Santo nº 48
Jerónimo Iborra-García,Monumento de la ciudad de Madrid,CALLE DOCTOR JERONIMO IBORRA 16, Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Jesús Guridi,Monumento de la ciudad de Madrid,C Sagasta 12, Barceló,Calle Barceló nº 7
Jesús Guridi,Monumento de la ciudad de Madrid,C Sagasta 12, Fuencarral,Calle Fuencarral nº 108
Jesús Guridi,Monumento de la ciudad de Madrid,C Sagasta 12, Malasaña,Calle Manuela Malasaña nº 5
Jesús de Monasterio y Agüeros,Monumento de la ciudad de Madrid,C Bailén 11, San Quintín,Calle Pavía nº 6
Jesús de Monasterio y Agüeros,Monumento de la ciudad de Madrid,C Bailén 11, Palacio de Oriente,Calle Carlos III nº 1
Jesús de Monasterio y Agüeros,Monumento de la ciudad de Madrid,C Bailén 11, Plaza Ramales,Plaza de Ramales
Joaquín Costa,Monumento de la ciudad de Madrid,C Barquillo 11, Prim,Calle Prim nº 2
Joaquín Costa,Monumento de la ciudad de Madrid,C Barquillo 11, Banco de España A,Calle Alcalá nº 49
Joaquín Costa,Monumento de la ciudad de Madrid,C Barquillo 11, Augusto Figueroa,Calle Augusto Figueroa nº 33
Joaquín Ibarra,Monumento de la ciudad de Madrid,C Núñez de Arce 11, Plaza de Santa Ana,Plaza de Santa Ana nº 10
Joaquín Ibarra,Monumento de la ciudad de Madrid,C Núñez de Arce 11, Puerta del Sol A,Puerta del Sol nº 1
Joaquín Ibarra,Monumento de la ciudad de Madrid,C Núñez de Arce 11, Puerta del Sol B,Puerta del Sol nº 1
